t_1,t_2,t_3,t_4,t_5,processed,total,rate,r_1,r_2,r_3,r_4,r_5
7882,7880,7879,7873,7877,39391,39391,1,20%,20%,20%,20%,20%
16455,16454,16456,16450,16463,82278,82279,1,20%,20%,20%,20%,20%
24943,24945,24938,24931,24939,124696,124698,1,20%,20%,20%,20%,20%
29766,29770,29769,29759,29768,148832,148832,1,20%,20%,20%,20%,20%
40699,40272,38998,37843,36904,194716,205103,0.95,21%,21%,20%,19%,19%
57543,56163,52932,50102,47807,264547,291508,0.91,22%,21%,20%,19%,18%
73909,70738,65847,61592,58415,330501,377675,0.88,22%,21%,20%,19%,18%
89878,85827,79194,73703,69564,398166,458403,0.87,23%,22%,20%,19%,17%
107515,101681,92487,84869,79361,465913,546705,0.85,23%,22%,20%,18%,17%
125391,117742,105715,96060,89181,534089,636098,0.84,23%,22%,20%,18%,17%
141527,132552,118933,107942,100171,601125,720901,0.83,24%,22%,20%,18%,17%
157592,146496,130787,118285,109656,662816,804337,0.82,24%,22%,20%,18%,17%
173192,160610,142836,128775,119132,724545,888515,0.82,24%,22%,20%,18%,16%
189243,174952,154932,139256,128614,786997,970937,0.81,24%,22%,20%,18%,16%
206104,190775,168698,151619,139770,856966,1055121,0.81,24%,22%,20%,18%,16%
222970,205965,181112,162272,149129,921448,1141098,0.81,24%,22%,20%,18%,16%
239043,221190,194664,174487,160518,989902,1222849,0.81,24%,22%,20%,18%,16%
255970,237304,208861,186546,170827,1059508,1308423,0.81,24%,22%,20%,18%,16%
270534,250379,220106,196454,179874,1117347,1383046,0.81,24%,22%,20%,18%,16%
285479,263370,230938,205578,187962,1173327,1460271,0.8,24%,22%,20%,18%,16%
300467,276566,242397,215701,197178,1232309,1540102,0.8,24%,22%,20%,18%,16%
315173,290013,253959,225651,206128,1290924,1614530,0.8,24%,22%,20%,17%,16%
330805,303974,265841,235985,215340,1351945,1694454,0.8,24%,22%,20%,17%,16%
346119,318504,278382,246917,225240,1415162,1771581,0.8,24%,23%,20%,17%,16%
361699,332565,290520,257675,235133,1477592,1848817,0.8,24%,23%,20%,17%,16%
377368,346649,302676,268136,244546,1539375,1928383,0.8,25%,23%,20%,17%,16%
393424,361007,314695,278336,253505,1600967,2012770,0.8,25%,23%,20%,17%,16%
409183,375638,328184,290666,265032,1668703,2093057,0.8,25%,23%,20%,17%,16%
426081,391310,342013,302738,275942,1738084,2177487,0.8,25%,23%,20%,17%,16%
441759,405469,353997,313084,285077,1799386,2257589,0.8,25%,23%,20%,17%,16%
456956,419482,366476,324144,294966,1862024,2337455,0.8,25%,23%,20%,17%,16%
471327,432128,377229,333328,303077,1917089,2416460,0.79,25%,23%,20%,17%,16%
486047,446584,390586,345344,314064,1982625,2493139,0.8,25%,23%,20%,17%,16%
501874,460235,401721,354788,322345,2040963,2573381,0.79,25%,23%,20%,17%,16%
517221,474449,414112,365686,332145,2103613,2650091,0.79,25%,23%,20%,17%,16%
533431,489400,427507,377734,343177,2171249,2731517,0.79,25%,23%,20%,17%,16%
548240,503204,439799,388874,353391,2233508,2805618,0.8,25%,23%,20%,17%,16%
562988,517158,452324,400237,363746,2296453,2880725,0.8,25%,23%,20%,17%,16%
578543,531635,465172,411815,374446,2361611,2958882,0.8,24%,23%,20%,17%,16%
594418,545898,477364,422326,383869,2423875,3037934,0.8,25%,23%,20%,17%,16%
609731,559273,488547,432224,392853,2482628,3119333,0.8,25%,23%,20%,17%,16%
625536,573243,500384,442507,402249,2543919,3199775,0.8,25%,23%,20%,17%,16%
641042,586612,511223,451384,409824,2600085,3281729,0.79,25%,23%,20%,17%,16%
656742,600537,523318,461814,419101,2661512,3362113,0.79,25%,23%,20%,17%,16%
671886,614250,535325,472050,428067,2721578,3438967,0.79,25%,23%,20%,17%,16%
687048,628353,547574,482931,437745,2783651,3515095,0.79,25%,23%,20%,17%,16%
702461,641826,558298,492013,445758,2840356,3595001,0.79,25%,23%,20%,17%,16%
718896,656752,570755,502310,454743,2903456,3678975,0.79,25%,23%,20%,17%,16%
735098,670736,581945,511507,462774,2962060,3759911,0.79,25%,23%,20%,17%,16%
751877,685702,594278,521869,472030,3025756,3845125,0.79,,,,,
768011,700353,606428,531942,480792,3087526,3926195,0.79,,,,,
782869,713533,617310,540944,488731,3143387,4003776,0.79,,,,,
798250,727791,629954,552462,499570,3208027,4082800,0.79,,,,,